timestamp,dataset,classifier,num_features,test_acc,train_time,test_time,total_time
2026-04-03 13:56:37,Beef,rf_MultiRocket_49728,49728.0,0.7,0.1674788750024163,0.0156836250025662,0.38711987501301304
,Beef,,,,,,
2026-04-03 13:56:34,Coffee,rf_MultiRocket_49728,49728.0,1.0,0.1346417919994564,0.0147091250037192,0.2769640420010544
,Coffee,,,,,,
2026-04-03 14:00:54,Crop,rf_MultiRocket_49728,49728.0,0.7570833333333333,45.94702616699942,2.029172250004194,56.02314837501035
,Crop,,,,,,
2026-04-03 13:56:40,ECG200,rf_MultiRocket_49728,49728.0,0.87,0.2799857499994687,0.0298632909980369,0.4671181249941581
2026-04-03 13:56:26,ECG200,rf_MultiRocket_9600,9600.0,0.88,0.1541660419970867,0.0138529999967431,0.2047608329958164
,ECG200,,,,,,
2026-04-03 13:59:13,ElectricDevices,rf_MultiRocket_49728,49728.0,0.7281805213331605,71.02321358300105,0.5218547920012497,80.58345925000322
,ElectricDevices,,,,,,
2026-03-31 15:38:33,InsectWingbeatSound,MultiRocket_10000,10000.0,0.6424242424242425,0.6944191670045257,0.0423479170131031,0.9621510420111008
2026-03-31 15:38:45,InsectWingbeatSound,MultiRocket_49728,49728.0,0.6373737373737374,1.6281650840246584,0.2250572089978959,2.8336814190261066
2026-04-01 19:57:16,InsectWingbeatSound,mlp_MultiRocket_49728,49728.0,0.6237373737373737,2.4185355410154443,0.2159264170040842,3.626367958058836
2026-04-03 13:56:49,InsectWingbeatSound,rf_MultiRocket_49728,49728.0,0.6696969696969697,1.097915792001004,0.1448240839963546,4.945926209002209
2026-04-01 17:20:28,InsectWingbeatSound,skew_MultiRocket_62160,62160.0,0.6186868686868687,1.930530415993417,0.363790000003064,3.4166509580099955
2026-04-01 17:19:54,InsectWingbeatSound,var_MultiRocket_62160,62160.0,0.6267676767676768,2.3549612080096267,0.3463855000154581,3.797745376039529
,InsectWingbeatSound,,,,,,
2026-03-31 15:39:20,StarLightCurves,MultiRocket_10000,10000.0,0.9794803302574066,1.6523320420237724,0.2013575829914771,4.187274708994664
2026-03-31 15:40:23,StarLightCurves,MultiRocket_49728,49728.0,0.979966002914036,1.7754672909795772,0.9125522089889272,13.415214249922428
2026-04-01 19:57:50,StarLightCurves,mlp_MultiRocket_49728,49728.0,0.977659057795046,3.7780085419944953,0.8846595830109436,15.206164585018996
2026-04-03 13:57:41,StarLightCurves,rf_MultiRocket_49728,49728.0,0.9800874210781932,3.565772250003647,0.4938621670007705,36.934060250001494
2026-04-01 17:22:56,StarLightCurves,skew_MultiRocket_62160,62160.0,0.9787518212724624,4.2066793749982025,1.8141537910269108,18.456351290020393
2026-04-01 17:22:01,StarLightCurves,var_MultiRocket_62160,62160.0,0.9797231665857212,2.5901116669992916,1.739291875011986,15.98720225004945
,StarLightCurves,,,,,,
